Symbol,Fund Name,Asset Class,Assets,Stock Price,% Change,Volume,Holdings,Open,Low,High,Close,Premkt. Price,Premkt. Chg%,Premkt. Close,Afterhr. Price,Afterhr. Chg%,Afterhr. Close,Category,52W Low,52W High,Avg. Volume,Rel. Volume,Gap (%),Chg. Open (%),Exp. Ratio,Issuer,Index,Inception,PE Ratio,Beta (5Y),RSI,RSI (W),RSI (M),ATR,Div. ($),Last Div.,Div. Yield,Div. Growth,Years,Payout Ratio,Payout Freq.,Ex-Div Date,Payment Date,Exchange,Region,Country,Leverage,Options,Shares,Change 1M,Change 3M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y,Change 15Y,Change 20Y,Return 1M,Return 3M,Return 6M,Return YTD,Return 1Y,Return 3Y,Return 5Y,Return 10Y,Return 15Y,Return 20Y,CAGR 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,CAGR 15Y,CAGR 20Y,52W Low Chg,52W High Chg,ATH,ATH Chg (%),ATH Date,ATL,ATL Chg (%),ATL Date,Tags,50 MA,200 MA,20 MA,150 MA,20MA Chg %,50MA Chg %,150MA Chg %,200MA Chg %,CUSIP Number,ISIN Number
VDE,Vanguard Energy ETF,Equity,8151495000,129.56,-1.80%,568332,115,131.69,129.56,131.71,131.93,130.70,-0.93%,131.93,,,,Equity Energy,112.99,137.92,593583,95.75%,-0.18%,-1.62%,0.10%,Vanguard,MSCI US IMI 25/50 Energy,2004-09-23,14.21,1.26,59.15,53.07,56.42,2.01,3.92,0.97,3.03%,0.14%,1,43.02%,Quarterly,2024-12-18,2024-12-20,NYSEARCA,North America,United States,Long,Yes,92873316,10.04%,3.10%,-0.04%,6.80%,15.63%,49.94%,65.70%,19.60%,53.35%,145.94%,10.04%,3.94%,1.65%,6.80%,19.34%,66.78%,102.36%,69.21%,136.21%,302.85%,19.29%,18.59%,15.13%,5.40%,5.90%,7.21%,14.67%,-6.06%,145.97,-11.24%,2014-06-23,30.03,331.44%,2020-03-19,,127.88,127.38,124.66,126.35,3.93%,1.31%,2.54%,1.71%,92204A306,US92204A3068
FLOT,iShares Floating Rate Bond ETF,Fixed Income,8060208600,51.01,,1755919,398,51.03,51.01,51.03,51.01,,,,,,,Ultrashort Bond,50.28,51.16,1740421,100.90%,0.04%,-0.04%,0.15%,BlackRock,Bloomberg US Floating Rate Notes (<5 Y),2011-06-14,,0.07,65.61,53.05,54.61,0.03,2.96,0.23,5.80%,3.24%,3,,Monthly,2024-12-18,2024-12-23,BATS,North America,United States,Long,Yes,159300000,0.41%,0.10%,,0.26%,0.32%,0.59%,-0.02%,0.85%,,,0.41%,1.47%,2.88%,0.26%,6.32%,15.16%,16.41%,27.36%,,,6.31%,4.82%,3.09%,2.45%,,,1.45%,-0.29%,51.16,-0.29%,2024-05-31,42.84,19.07%,2020-03-18,,50.94,50.95,50.92,50.94,0.17%,0.15%,0.13%,0.11%,46429B655,US46429B6552
XLG,Invesco S&P 500 Top 50 ETF,Equity,8021275600,51.36,1.12%,1313710,54,51.21,51.16,51.49,50.79,51.29,0.98%,50.79,,,,Large Blend,38.82,51.76,1544814,85.04%,0.83%,0.29%,0.20%,Invesco,S&P 500 Top 50,2005-05-04,31.30,1.01,58.86,65.02,78.97,0.75,0.36,0.09,0.70%,-1.56%,,21.95%,Quarterly,2024-12-23,,NYSEARCA,North America,United States,Long,Yes,159357850,1.54%,5.83%,12.12%,2.80%,32.00%,51.89%,112.56%,267.17%,515.31%,,1.72%,6.02%,12.52%,2.80%,33.03%,56.67%,125.11%,328.97%,703.50%,,32.96%,16.14%,17.61%,15.67%,14.90%,,32.30%,-0.77%,51.76,-0.77%,2024-12-18,5.34,862.34%,2009-03-06,,50.20,46.41,50.44,47.72,1.83%,2.32%,7.64%,10.68%,46137V233,US46137V2337
AVUS,Avantis U.S. Equity ETF,Equity,7989384700,100.99,0.20%,233386,2087,101.21,100.96,101.25,100.79,,,,,,,Large Blend,81.73,102.23,401575,58.12%,0.42%,-0.22%,0.15%,American Century Investments,,2019-09-24,22.43,1.06,63.16,62.02,68.89,1.11,1.23,0.34,1.22%,6.78%,6,27.31%,Quarterly,2024-12-17,,NYSEARCA,North America,United States,Long,Yes,80040000,3.59%,4.42%,10.07%,4.19%,23.79%,35.92%,81.41%,,,,3.59%,4.77%,10.83%,4.19%,25.43%,42.08%,94.71%,,,,25.37%,12.42%,14.25%,,,,23.57%,-1.21%,102.23,-1.21%,2024-12-05,34.70,191.04%,2020-03-23,,99.46,93.26,98.19,95.02,2.85%,1.54%,6.29%,8.29%,025072885,US0250728856
CALF,Pacer US Small Cap Cash Cows 100 ETF,Equity,7971020000,45.21,-1.20%,1555091,102,45.63,45.19,45.65,45.76,,,,,,,Small Value,42.19,49.59,1662281,93.55%,-0.28%,-0.92%,0.59%,Pacer,Pacer US Small Cap Cash Cows Index,2017-06-16,12.64,1.21,51.63,48.56,52.68,0.72,0.47,0.14,1.04%,-16.64%,,13.16%,Quarterly,2024-12-27,,BATS,North America,United States,Long,Yes,176500000,1.94%,-1.85%,-0.57%,2.73%,-3.27%,14.60%,65.64%,,,,2.27%,-1.53%,0.07%,2.73%,-2.26%,18.44%,77.79%,,,,-2.25%,5.80%,12.19%,,,,7.16%,-8.83%,49.59,-8.83%,2024-07-31,14.99,201.60%,2020-03-23,,46.05,45.69,44.46,45.50,1.68%,-1.83%,-0.64%,-1.05%,69374H857,US69374H8575
VYMI,Vanguard International High Dividend Yield ETF,Equity,7846919700,69.16,-0.77%,497459,1541,69.43,69.16,69.52,69.70,,,,,,,Foreign Large Value,64.58,74.28,512267,99.36%,-0.39%,-0.39%,0.22%,Vanguard,FTSE Custom All-World ex US High Dividend Yield Net Tax (US RIC) Index,2016-02-25,11.51,0.83,54.47,47.92,54.09,0.66,3.29,0.97,4.75%,7.84%,2,54.70%,Quarterly,2024-12-20,2024-12-24,NASDAQ,Global,,Long,Yes,114603766,2.78%,-3.92%,-1.30%,1.89%,6.50%,0.95%,8.71%,,,,2.78%,-2.54%,1.09%,1.89%,11.69%,16.39%,35.91%,,,,11.67%,5.19%,6.33%,,,,7.09%,-6.89%,74.28,-6.89%,2024-09-27,39.33,75.85%,2020-03-23,,69.34,70.12,68.04,70.37,1.64%,-0.26%,-1.72%,-1.37%,921946794,US9219467944
SCHI,Schwab 5-10 Year Corporate Bond ETF,Fixed Income,7752288000,22.08,-0.36%,1056008,2248,22.13,22.08,22.16,22.16,,,,,,,Corporate Bond,21.50,45.70,914843,117.42%,-0.14%,-0.23%,0.03%,Charles Schwab,Bloomberg US Aggregate Credit - Corporate (5-10 Y),2019-10-10,,0.34,48.50,43.73,46.33,0.10,1.52,0.09,6.87%,0.93%,3,,Monthly,2024-12-20,,NYSEARCA,North America,United States,Long,No,351100000,,-2.21%,-0.88%,0.05%,-0.72%,-12.74%,-12.57%,,,,,-0.99%,1.63%,0.05%,4.43%,-1.19%,3.35%,,,,4.42%,-0.40%,0.66%,,,,2.70%,-51.68%,27.80,-20.58%,2020-11-27,20.42,8.13%,2022-10-21,,22.25,22.34,22.02,22.49,0.29%,-0.77%,-1.83%,-1.15%,808524698,US8085246986
FNGU,MicroSectors FANG+ Index 3X Leveraged ETN,Equity,7738439700,664.40,7.16%,687972,10,659.88,653.05,677.50,620.03,657.50,6.04%,620.03,,,,Trading--Leveraged Equity,250.20,697.87,682604,101.86%,6.43%,0.68%,0.95%,REX Microsectors,NYSE FANG+ index,2018-01-22,280.58,3.64,60.72,66.99,79.39,37.90,,,,,,,,,,NYSEARCA,North America,United States,3X Long,No,13000000,8.03%,44.06%,54.15%,13.85%,163.98%,158.12%,765.78%,,,,8.03%,44.06%,54.15%,13.85%,163.98%,158.12%,765.78%,,,,163.45%,37.17%,53.96%,,,,165.55%,-4.80%,697.87,-4.80%,2024-12-16,22.38,2868.19%,2018-12-24,,574.25,437.98,608.58,471.17,9.17%,15.70%,41.01%,51.70%,063679534,US0636795348
ONEQ,Fidelity Nasdaq Composite Index ETF,Equity,7711063600,78.80,1.18%,363199,883,78.34,78.28,79.03,77.88,78.26,0.49%,77.88,78.97,0.22%,78.80,Large Growth,59.71,79.75,347628,105.35%,0.59%,0.59%,0.21%,Fidelity,NASDAQ Composite Index,2003-09-25,33.82,1.11,59.21,64.30,76.95,1.33,0.50,0.17,0.63%,19.14%,3,21.37%,Quarterly,2024-12-20,,NASDAQ,,,Long,Yes,99800000,2.06%,8.18%,12.88%,3.60%,30.59%,46.69%,115.97%,329.71%,781.53%,882.54%,2.06%,8.42%,13.31%,3.60%,31.52%,50.24%,124.63%,377.92%,932.63%,1090.33%,31.44%,14.53%,17.56%,16.93%,16.84%,13.18%,31.97%,-1.19%,79.75,-1.19%,2024-12-16,4.95,1491.92%,2009-03-09,,76.72,70.50,77.04,72.40,2.28%,2.70%,8.84%,11.77%,315912808,US3159128087
IJS,iShares S&P Small-Cap 600 Value ETF,Equity,7666576000,111.17,-0.94%,195476,468,111.97,111.07,111.98,112.23,,,,,,,Small Value,93.89,119.28,531278,36.79%,-0.23%,-0.71%,0.18%,BlackRock,S&P Small Cap 600 Value,2000-07-24,15.15,1.18,53.95,54.65,57.21,1.84,1.94,0.54,1.74%,32.08%,2,26.44%,Quarterly,2024-12-17,,NYSEARCA,North America,United States,Long,Yes,69400000,2.12%,3.75%,6.57%,2.36%,13.74%,12.29%,39.25%,97.94%,275.77%,287.35%,2.12%,4.24%,7.64%,2.36%,15.87%,17.94%,50.75%,131.35%,372.48%,424.51%,15.83%,5.65%,8.55%,8.75%,10.91%,8.64%,18.41%,-6.80%,119.28,-6.80%,2024-11-25,11.39,875.77%,2003-12-12,,112.41,104.74,108.94,106.82,2.05%,-1.10%,4.07%,6.14%,464287879,US4642878791
IQLT,iShares MSCI Intl Quality Factor ETF,Equity,7657986000,38.50,-0.03%,784951,325,38.67,38.50,38.70,38.51,,,,,,,Foreign Large Blend,36.57,41.93,1174871,66.81%,0.42%,-0.44%,0.30%,BlackRock,World ex USA Sector Neutral Quality,2015-01-13,19.51,0.89,60.82,48.71,53.19,0.41,1.07,0.44,2.77%,24.85%,1,53.96%,Semi-Annual,2024-12-17,2024-12-20,NYSEARCA,Global,,Long,Yes,202400000,3.89%,-4.11%,-1.69%,3.72%,5.16%,2.12%,17.92%,47.62%,,,3.89%,-3.02%,-0.56%,3.72%,8.06%,10.82%,33.28%,89.70%,,,8.04%,3.48%,5.91%,6.61%,,,5.28%,-8.18%,41.93,-8.18%,2024-09-27,21.82,76.44%,2020-03-18,,38.16,39.27,37.46,39.29,2.79%,0.88%,-2.02%,-1.96%,46434V456,US46434V4564
PRF,Invesco FTSE RAFI US 1000 ETF,Equity,7591372000,41.85,-0.36%,447575,1005,42.08,41.84,42.08,42.00,,,,,,,Large Value,35.31,43.02,306080,146.23%,0.19%,-0.55%,0.39%,Invesco,FTSE RAFI US 1000,2005-12-19,19.44,1.00,61.13,58.74,64.89,0.43,0.72,0.20,1.72%,10.80%,7,33.35%,Quarterly,2024-12-23,2024-12-27,NYSEARCA,North America,United States,Long,Yes,182520000,3.08%,2.12%,7.28%,3.74%,18.99%,26.21%,62.95%,132.84%,335.67%,,3.58%,2.62%,8.30%,3.74%,21.19%,33.79%,80.25%,185.69%,485.72%,,21.14%,10.19%,12.50%,11.07%,12.51%,,18.52%,-2.72%,43.02,-2.72%,2024-11-29,4.81,770.06%,2009-03-06,,41.52,39.54,40.77,40.18,2.66%,0.81%,4.15%,5.83%,46137V613,US46137V6130
CIBR,First Trust NASDAQ Cybersecurity ETF,Equity,7590031400,66.94,1.09%,715874,35,66.79,66.29,67.16,66.22,66.63,0.62%,66.22,67.00,0.09%,66.94,Technology,50.53,67.16,577123,126.85%,0.86%,0.22%,0.59%,First Trust,Nasdaq CTA Cybersecurity Index,2015-07-07,35.27,0.92,65.29,65.34,74.85,1.08,0.18,0.08,0.27%,-20.18%,,9.59%,Quarterly,2024-12-13,2024-12-31,NASDAQ,,,Long,Yes,116900002,4.53%,7.92%,19.28%,5.50%,20.50%,43.90%,109.84%,,,,4.53%,8.05%,19.45%,5.50%,20.87%,45.40%,117.11%,,,,20.82%,13.29%,16.76%,,,,32.48%,-0.33%,67.16,-0.32%,2025-01-22,13.92,380.89%,2016-02-09,,64.14,58.67,64.46,60.04,3.85%,4.37%,11.50%,14.10%,33734X846,US33734X8469
JNK,SPDR Bloomberg High Yield Bond ETF,Fixed Income,7541180400,96.57,-0.17%,1894473,1191,96.72,96.57,96.77,96.73,,,,,,,High Yield Bond,92.47,97.90,2809606,67.44%,-0.01%,-0.16%,0.40%,State Street,Bloomberg High Yield Very Liquid,2007-11-28,20.23,0.47,57.85,53.57,52.47,0.36,6.33,0.52,6.55%,4.68%,3,132.58%,Monthly,2024-12-19,,NYSEARCA,,,Long,Yes,78274605,1.25%,-0.13%,1.43%,1.15%,2.32%,-9.40%,-12.14%,-16.99%,-17.44%,,1.25%,1.52%,4.81%,1.15%,9.35%,9.52%,16.96%,47.47%,114.22%,,9.33%,3.08%,3.18%,3.96%,5.21%,,4.43%,-1.36%,144.69,-33.26%,2007-12-11,76.65,25.99%,2009-03-09,,96.32,95.56,95.79,96.11,0.81%,0.26%,0.48%,1.05%,78468R622,US78468R6229
DUHP,Dimensional US High Profitability ETF,Equity,7453048000,34.92,0.32%,544687,169,34.94,34.83,35.00,34.81,,,,34.88,-0.11%,34.92,Large Blend,29.14,35.79,835072,65.23%,0.37%,-0.06%,0.21%,Dimensional,,2022-02-23,28.08,0.99,61.87,58.27,65.93,0.36,0.38,0.10,1.10%,-11.34%,,30.82%,Quarterly,2024-12-17,,NYSEARCA,North America,United States,Long,Yes,216650000,2.53%,0.69%,7.98%,3.34%,20.25%,,,,,,2.53%,0.99%,8.62%,3.34%,21.65%,,,,,,21.60%,,,,,,19.84%,-2.43%,35.79,-2.43%,2024-12-06,21.09,65.58%,2022-10-13,,34.64,32.94,34.09,33.62,2.42%,0.81%,3.86%,6.02%,25434V831,US25434V8312
BBCA,JPMorgan BetaBuilders Canada ETF,Equity,7449106400,72.15,-0.35%,178351,81,72.32,72.12,72.45,72.40,,,,,,,Miscellaneous Region,61.37,75.62,236946,75.27%,-0.11%,-0.24%,0.19%,JPMorgan Chase,Morningstar Canada Target Market Exposure Index,2018-08-07,19.37,1.04,54.70,54.94,58.99,0.77,1.66,0.43,2.30%,6.48%,,44.55%,,2024-09-24,2024-09-26,BATS,North America,Canada,Long,Yes,104798911,2.08%,-0.85%,7.53%,2.21%,14.25%,10.00%,35.37%,,,,2.90%,-0.05%,9.04%,2.21%,17.05%,18.70%,53.72%,,,,17.01%,5.88%,8.98%,,,,17.57%,-4.59%,75.62,-4.59%,2024-12-05,30.70,135.02%,2020-03-23,,72.68,69.21,70.94,70.36,1.71%,-0.73%,2.54%,4.24%,46641Q225,US46641Q2259
SCHH,Schwab U.S. REIT ETF,Equity,7437408000,21.09,-1.82%,4378847,124,21.43,21.09,21.43,21.48,,,,,,,Real Estate,18.45,23.66,7447074,59.78%,-0.23%,-1.59%,0.07%,Charles Schwab,Dow Jones Equity All REIT Capped,2011-01-13,32.51,1.06,48.19,45.80,50.90,0.34,0.68,0.24,3.22%,1.04%,3,104.66%,Quarterly,2024-12-11,2024-12-16,NYSEARCA,North America,United States,Long,Yes,352150000,1.05%,-7.13%,-0.09%,0.14%,4.98%,-11.94%,-10.81%,1.18%,,,1.05%,-6.11%,1.61%,0.14%,8.39%,-3.52%,2.45%,33.52%,,,8.37%,-1.19%,0.49%,2.93%,,,14.31%,-10.86%,26.54,-20.54%,2021-12-31,10.83,94.74%,2011-10-04,,21.78,21.26,20.89,21.87,0.94%,-3.16%,-3.58%,-0.79%,808524847,US8085248479
DFAI,Dimensional International Core Equity Market ETF,Equity,7416683500,30.05,-0.30%,961330,3810,30.18,30.04,30.18,30.14,,,,,,,Foreign Large Blend,27.96,32.11,1505405,63.86%,0.13%,-0.43%,0.18%,Dimensional,,2020-11-17,15.94,0.85,60.35,50.33,54.99,0.30,0.79,0.23,2.64%,4.89%,5,42.12%,Quarterly,2024-12-17,,NYSEARCA,Global,,Long,Yes,250600000,3.62%,-2.59%,-0.69%,2.91%,7.21%,4.16%,,,,,3.62%,-1.85%,0.51%,2.91%,10.07%,13.04%,,,,,10.05%,4.17%,,,,,7.48%,-6.42%,32.11,-6.42%,2024-09-26,21.05,42.76%,2022-10-13,,29.77,30.26,29.33,30.32,2.47%,0.93%,-0.89%,-0.69%,25434V203,US25434V2034
BINC,iShares Flexible Income Active ETF,Fixed Income,7309807000,52.34,0.04%,1854694,4428,52.45,52.33,52.45,52.32,,,,,,,Multisector Bond,51.53,53.57,1141059,164.40%,0.25%,-0.21%,0.40%,BlackRock,,2023-05-19,,,55.87,46.81,60.47,0.12,3.19,0.58,6.10%,,2,,Monthly,2024-12-18,,NYSEARCA,,,Long,No,140900000,0.65%,-1.00%,-0.32%,0.62%,0.35%,,,,,,0.65%,1.02%,3.41%,0.62%,6.64%,,,,,,6.62%,,,,,,1.57%,-2.30%,53.57,-2.29%,2024-09-27,49.54,5.65%,2023-10-19,,52.43,52.52,52.07,52.69,0.51%,-0.17%,-0.66%,-0.34%,092528603,US0925286033
DFIC,Dimensional International Core Equity 2 ETF,Equity,7272379400,26.51,-0.43%,866938,4124,26.64,26.50,26.64,26.62,,,,,,,Foreign Large Blend,24.74,28.42,1309650,66.20%,0.08%,-0.51%,0.23%,Dimensional,,2022-03-23,14.67,0.89,59.07,49.49,51.56,0.26,0.74,0.21,2.80%,14.33%,3,41.06%,Quarterly,2024-12-17,,BATS,Global,,Long,Yes,278800000,3.29%,-2.95%,-1.38%,2.55%,6.53%,,,,,,3.29%,-2.17%,-0.11%,2.55%,9.55%,,,,,,9.53%,,,,,,7.13%,-6.74%,28.42,-6.74%,2024-09-27,18.70,41.74%,2022-10-13,,26.33,26.80,25.93,26.83,2.23%,0.67%,-1.21%,-1.11%,25434V799,US25434V7991
DFAU,Dimensional US Core Equity Market ETF,Equity,7269696500,42.02,0.50%,455838,2395,42.02,41.97,42.12,41.81,,,,,,,Large Blend,33.56,42.42,664812,68.57%,0.50%,,0.12%,Dimensional,,2020-11-17,25.90,1.01,61.77,62.12,70.70,0.49,0.45,0.16,1.06%,3.49%,5,27.43%,Quarterly,2024-12-17,2024-12-19,NYSEARCA,North America,United States,Long,Yes,175500000,2.92%,4.06%,10.58%,3.78%,25.40%,37.91%,,,,,2.92%,4.45%,11.31%,3.78%,26.83%,43.41%,,,,,26.77%,12.77%,,,,,25.21%,-0.94%,42.42,-0.94%,2024-12-06,24.53,71.30%,2020-11-19,,41.37,38.68,40.97,39.53,2.58%,1.58%,6.30%,8.63%,25434V104,US25434V1044
SPLV,Invesco S&P 500 Low Volatility ETF,Equity,7221987300,70.85,-0.99%,1950242,103,71.49,70.82,71.51,71.56,,,,,,,Large Value,62.37,75.14,1594225,122.33%,-0.10%,-0.90%,0.25%,Invesco,S&P 500 Low Volatility,2011-05-05,23.31,0.72,52.37,52.26,59.25,0.74,1.29,0.10,1.82%,-16.58%,,43.26%,Monthly,2025-01-21,,NYSEARCA,North America,United States,Long,Yes,102440000,0.84%,-2.29%,6.29%,1.21%,12.41%,8.82%,18.30%,84.46%,,,1.13%,-1.87%,7.38%,1.36%,14.79%,16.38%,31.43%,128.61%,,,14.76%,5.18%,5.62%,8.62%,,,13.60%,-5.71%,75.14,-5.71%,2024-11-27,20.00,254.25%,2015-08-24,,71.72,68.70,70.00,70.07,1.22%,-1.21%,1.12%,3.14%,46138E354,US46138E3541
VLUE,iShares MSCI USA Value Factor ETF,Equity,7197576700,110.62,-0.29%,375260,154,110.90,110.54,111.02,110.94,,,,,,,Large Value,98.51,115.88,493947,75.97%,-0.04%,-0.25%,0.15%,BlackRock,MSCI USA Enhanced Value,2013-04-16,16.25,1.04,61.55,55.39,57.79,1.30,2.88,0.75,2.60%,7.07%,1,42.33%,Quarterly,2024-12-17,,BATS,North America,United States,Long,Yes,65600000,4.75%,0.97%,3.22%,4.74%,10.96%,3.65%,22.99%,71.74%,,,4.75%,1.67%,4.76%,4.74%,14.00%,13.05%,41.43%,123.10%,,,13.97%,4.17%,7.18%,8.35%,,,12.29%,-4.54%,115.88,-4.54%,2024-11-25,49.34,124.20%,2013-04-18,,109.82,106.36,107.06,107.49,3.32%,0.73%,2.92%,4.01%,46432F388,US46432F3881
AVEM,Avantis Emerging Markets Equity ETF,Equity,7150293500,59.42,-0.07%,422372,3542,59.49,59.31,59.65,59.46,,,,,,,Diversified Emerging Mkts,54.33,66.31,616376,69.19%,0.05%,-0.12%,0.33%,American Century Investments,,2019-09-17,11.65,0.78,50.54,45.36,53.29,0.68,1.87,1.30,3.14%,8.24%,2,36.56%,Semi-Annual,2024-12-17,,NYSEARCA,Global,,Long,Yes,121800000,0.13%,-7.08%,-2.14%,1.07%,9.87%,-6.01%,8.18%,,,,0.13%,-5.08%,-0.03%,1.07%,13.29%,2.74%,23.50%,,,,13.26%,0.90%,4.31%,,,,9.37%,-10.39%,70.47,-15.69%,2021-06-04,35.21,68.76%,2020-03-23,,60.34,61.03,58.88,61.44,0.92%,-1.52%,-3.28%,-2.64%,025072604,US0250726041
QLD,ProShares Ultra QQQ,Equity,7116025300,116.36,2.61%,10227149,121,115.51,115.45,117.37,113.40,115.45,1.70%,113.52,,,,Trading--Leveraged Equity,75.28,120.68,3828853,269.63%,1.86%,0.74%,0.95%,ProShares,NASDAQ 100 Index,2006-06-19,36.62,2.23,59.43,61.25,72.95,3.70,0.27,0.06,0.23%,7.48%,3,8.59%,Quarterly,2024-12-23,2024-12-31,NYSEARCA,,,2X Long,Yes,63450000,4.41%,12.62%,19.11%,7.50%,45.47%,68.15%,246.95%,1293.03%,6255.00%,,4.46%,12.68%,19.24%,7.50%,45.87%,69.80%,250.40%,1315.40%,6396.93%,,45.76%,19.30%,28.49%,30.34%,32.08%,,54.57%,-3.58%,120.68,-3.58%,2024-12-16,0.61,19034.07%,2009-03-09,,110.80,98.41,110.97,102.21,4.86%,5.02%,13.84%,18.24%,74347R206,US74347R2067
SOXS,Direxion Daily Semiconductor Bear 3x Shares,Equity,7113262600,16.89,-4.29%,50579576,12,17.14,16.35,17.26,17.65,17.20,-2.55%,17.65,16.90,0.04%,16.89,Trading--Inverse Equity,16.35,54.90,41935591,120.78%,-2.89%,-1.44%,1.03%,Direxion,NYSE Semiconductor Index,2010-03-11,,-3.24,35.06,38.78,25.90,1.58,1.22,0.30,7.23%,-77.22%,,,Quarterly,2024-12-23,,NYSEARCA,North America,United States,-3X Short,Yes,50536522,-26.90%,-16.91%,-31.61%,-24.82%,-66.08%,-96.59%,-99.93%,-100.00%,,,-25.84%,-15.70%,-29.85%,-24.82%,-64.39%,-96.24%,-99.92%,-100.00%,,,-64.31%,-66.48%,-75.81%,-69.95%,,,3.32%,-69.23%,215952000.09,-100.00%,2010-05-06,16.35,3.32%,2025-01-22,,21.64,24.87,20.34,22.58,-16.93%,-21.94%,-25.20%,-32.08%,25460G336,US25460G3368
DFAX,Dimensional World ex U.S. Core Equity 2 ETF,Equity,7106916400,25.37,-0.20%,519228,10188,25.48,25.36,25.48,25.42,,,,,,,Foreign Large Blend,23.68,27.33,705282,74.50%,0.24%,-0.43%,0.28%,Dimensional,,2008-03-06,13.82,0.80,56.76,48.41,53.55,0.25,0.74,0.23,2.92%,0.68%,4,40.31%,Quarterly,2024-12-17,,NYSEARCA,Global,,Long,Yes,284417896,2.17%,-3.72%,-1.59%,2.05%,7.00%,-1.32%,,,,,2.17%,-2.83%,0.01%,2.05%,10.13%,8.36%,,,,,10.11%,2.71%,,,,,7.14%,-7.17%,27.33,-7.17%,2024-09-27,18.42,37.73%,2022-10-13,,25.35,25.74,24.93,25.79,1.78%,0.09%,-1.63%,-1.44%,25434V880,US25434V8809
FXI,iShares China Large-Cap ETF,Equity,7098005000,30.53,-0.72%,26457483,57,30.53,28.41,30.60,30.75,30.52,-0.75%,30.75,,,,China Region,21.33,37.50,32742745,80.98%,-0.72%,,0.74%,BlackRock,FTSE China 50 Net Tax USD Index,2004-10-05,9.46,0.32,53.07,54.29,54.35,0.67,0.54,0.45,1.76%,-29.57%,,16.61%,Semi-Annual,2024-12-17,2024-12-20,NYSEARCA,Asia-Pacific,China,Long,Yes,233550000,0.36%,-3.81%,18.24%,0.30%,40.82%,-20.20%,-28.98%,-29.15%,-22.92%,74.69%,0.36%,-2.40%,19.98%,0.30%,43.35%,-14.01%,-20.51%,-9.63%,10.65%,171.16%,43.24%,-4.91%,-4.49%,-1.01%,0.68%,5.11%,43.13%,-18.59%,73.19,-58.28%,2007-10-31,16.73,82.45%,2004-10-28,,30.49,28.27,30.14,28.90,1.31%,0.15%,5.63%,7.99%,464287184,US4642871846
SPHY,SPDR Portfolio High Yield Bond ETF,Fixed Income,7070007300,23.74,-0.13%,4848740,1917,23.78,23.72,23.80,23.77,,,,,,,High Yield Bond,22.82,24.07,4424091,109.60%,0.04%,-0.17%,0.05%,State Street,ICE BofA US High Yield,2012-06-18,60.70,0.46,58.59,53.40,52.01,0.09,1.83,0.14,7.71%,7.26%,3,468.24%,Monthly,2024-12-19,2024-12-24,NYSEARCA,North America,United States,Long,Yes,298600000,1.32%,-0.17%,1.28%,1.15%,1.80%,-9.18%,-10.38%,-10.14%,,,1.32%,1.74%,5.23%,1.15%,10.07%,12.56%,24.09%,55.94%,,,10.04%,4.02%,4.41%,4.54%,,,4.03%,-1.37%,27.46,-13.55%,2013-01-24,20.29,17.00%,2020-03-23,,23.68,23.51,23.54,23.63,0.83%,0.27%,0.46%,0.97%,78468R606,US78468R6062
DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,Equity,7057860600,42.84,-0.14%,580734,766,43.01,42.84,43.02,42.90,,,,,,,Foreign Large Blend,37.39,43.02,793564,73.18%,0.26%,-0.40%,0.35%,Xtrackers,MSCI EAFE 100% Hedged to USD Net Variant,2011-06-09,16.63,0.71,65.38,60.30,65.72,0.35,0.53,0.30,1.24%,-67.64%,,20.69%,Semi-Annual,2024-12-20,,NYSEARCA,Global,,Long,Yes,166750001,4.54%,1.73%,3.20%,3.48%,15.13%,12.62%,24.75%,56.52%,,,4.54%,2.47%,3.95%,3.48%,16.63%,38.18%,60.71%,135.27%,,,16.60%,11.38%,9.95%,8.93%,,,14.58%,-0.42%,43.02,-0.42%,2025-01-22,18.77,128.24%,2011-10-25,,41.84,41.45,41.84,41.56,2.40%,2.38%,3.09%,3.35%,233051200,US2330512003
XLRE,Real Estate Select Sector SPDR Fund,Equity,7033756000,41.10,-1.75%,5798690,34,41.75,41.06,41.75,41.83,41.86,0.07%,41.83,,,,Real Estate,35.57,45.58,6219047,94.13%,-0.19%,-1.56%,0.09%,State Street,S&P Real Estate Select Sector,2015-10-07,36.87,1.01,49.62,46.89,51.65,0.69,1.40,0.43,3.40%,5.22%,1,125.21%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,171250000,0.76%,-6.21%,1.46%,1.06%,6.20%,-12.35%,2.78%,,,,1.84%,-5.20%,3.25%,1.06%,9.92%,-2.76%,21.69%,,,,9.90%,-0.93%,4.00%,,,,15.55%,-9.83%,52.17,-21.22%,2021-12-31,24.88,65.19%,2020-03-23,,42.26,41.05,40.51,42.24,1.45%,-2.73%,-2.70%,0.11%,81369Y860,US81369Y8600
